,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating
0,1100,Yes,No,3,4.8
1,1200,Yes,No,3,4.5
2,4000,Yes,No,4,4.4
3,1500,No,No,4,4.9
4,1500,Yes,No,4,4.8
5,1000,No,No,3,4.4
6,2000,Yes,No,4,4.0
7,2000,Yes,No,4,4.2
8,6000,Yes,No,4,4.9
9,1100,Yes,No,3,4.8
10,800,No,No,3,4.9
11,900,Yes,No,3,4.2
12,800,No,No,3,4.8
13,1000,Yes,No,3,4.2
14,700,No,No,3,4.3
15,800,No,No,3,3.6
16,850,No,No,3,4.0
17,1200,Yes,No,3,4.5
18,600,No,No,2,4.5
19,1500,Yes,No,4,4.4
20,3000,Yes,No,4,4.7
21,1800,Yes,No,4,4.5
22,55,No,No,2,3.0
23,30,No,No,1,3.8
24,45,No,No,2,3.7
25,60,No,No,3,3.8
26,50,No,No,2,3.2
27,80,No,No,3,3.1
28,90,No,No,3,3.7
29,200,No,No,4,3.7
31,150,No,No,4,4.1
32,100,No,No,4,3.1
33,60,No,No,3,3.6
34,100,No,No,4,4.3
35,230,No,No,4,4.2
36,100,No,No,4,3.6
37,150,No,No,4,4.0
38,240,No,No,4,3.2
39,230,No,No,4,4.9
40,350,No,No,4,3.3
41,50,No,No,2,3.6
42,140,No,No,4,4.0
43,100,No,No,4,4.8
44,60,No,No,3,4.7
45,90,No,No,3,4.5
46,170,No,No,4,4.2
47,60,No,No,3,4.8
48,100,No,No,4,4.9
49,90,No,No,3,4.6
50,120,No,No,4,4.9
51,170,No,No,4,4.6
52,90,No,No,3,4.3
53,150,No,No,4,4.0
54,250,No,No,4,4.6
55,120,No,No,4,4.4
56,40,No,No,2,4.2
57,250,No,No,4,4.2
59,300,No,No,4,4.7
60,85,No,No,3,4.6
61,80,No,No,3,4.3
62,250,No,No,4,4.5
63,250,No,No,4,4.4
64,70,No,No,3,3.1
65,100,No,No,4,4.1
66,300,No,No,4,4.8
67,120,No,No,4,4.6
68,75,No,No,3,3.9
70,200,No,No,4,3.4
71,120,No,No,4,3.5
72,300,No,No,4,4.3
73,230,No,No,4,3.9
74,120,No,No,4,4.3
75,150,No,No,4,4.3
76,400,No,No,4,4.4
79,100,No,No,4,4.4
80,70,No,No,3,4.6
81,120,No,No,4,4.1
82,25,No,No,2,3.3
83,10,No,No,1,3.3
84,0,No,No,1,3.4
85,0,No,No,1,3.4
86,10,No,No,1,3.4
87,0,No,No,1,3.4
88,10,No,No,1,3.5
89,10,No,No,1,3.9
90,25,No,No,2,3.7
91,70,No,No,4,3.5
92,25,No,No,2,3.6
93,10,No,No,1,3.8
94,10,No,No,1,3.9
